title; aliases; description; tags; contact; picture; reference
Isaac Newton; ; ; ; ; Untitled; ./Isaac%20Newton.md
Francis Crick; ; ; ; ; Untitled; ./Francis%20Crick.md
Albert Einstein; ; ; ; ; Untitled; ./Albert%20Einstein.md
Johannes Kepler; ; ; ; ; Untitled; ./Johannes%20Kepler.md
Nicolas Copernicus; ; ; ; ; Untitled; ./Nicolas%20Copernicus.md
Charles Darwin; ; ; ; ; Untitled; ./Charles%20Darwin.md
James D. Watson; ; ; ; ; Untitled; ./James%20D%20Watson.md
Galileo Galilei; ; ; ; ; Untitled; ./Galileo%20Galilei.md
Ptolemy; ; ; ; ; Untitled; ./Ptolemy.md
Rene Descartes; ; ; philosophy, epistemology; ; Untitled; ./Rene%20Descartes.md